transaction_id,ts,user_id,country,city,product_id,category,subcategory,unit_price,qty,discount_code,payment_type,device,channel,referrer,is_return,return_date,status,notes
xh4pHVhssnTJ,2025-09-25 16:57:14,359,CA,Toronto,1282,Beauté,Cheveux,54.22,1,BLACKFRIDAY,paypal,mobile,web,friend,0,,paid,
BADROW,2025-13-40 25:61:61,???,"",,,"Électronique","Téléphones",9999,1,,,mobile,web,google,0,,"paid","ligne invalide
pEJigbpb5dp0,2025-07-06 05:38:32,526,CA,Toronto,1197,Sport,Fitness,26.49,3,,card,mobile,web,google,0,,paid,
4i3tVfXCocro,2025-08-02 15:58:57,1159,FR,Toulouse,1128,Mode,Chaussures,25.79,2,,paypal,mobile,web,tiktok,0,,paid,
g8t7fpShsXtw,2025-09-18 22:58:54,1894,DE,Hamburg,1115,Maison,Literie,28.52,3,STUDENT,card,tablet,web,newsletter,0,,paid,
L6PFVQSvSIC7,2025-07-09 17:05:06,828,DE,Munich,1280,Beauté,Cheveux,25.97,1,STUDENT,card,mobile,boutique,tiktok,0,,paid,
bhGoAheZ2pQh,2025-09-08 23:54:24,1659,CA,Québec,1099,Maison,Décoration,21.82,3,,crypto,mobile,web,direct,0,,paid,
bY2XhBDHJHOu,2025-07-12 13:27:36,719,US,San Francisco,1176,Mode,Accessoires,24.69,1,ÉTÉ2025,paypal,mobile,web,direct,0,,paid,
3W6epVxH7O9u,2025-09-09 18:34:11,1527,MA,Casablanca,1003,Électronique,Téléphones,52.54,1,BLACKFRIDAY,crypto,mobile,app,instagram,0,,paid,
mFyNvNlyGxGH,2025-07-31 13:27:00,1024,DE,Hamburg,1185,Sport,Fitness,35.06,5,STUDENT,paypal,desktop,boutique,friend,0,,paid,
7lnf9YX9z4O6,2025-07-08 10:53:42,685,CA,Gatineau,1296,Beauté,Cheveux,38.47,2,,interac,mobile,web,instagram,0,,refunded,"Adresse incomplète, revoir 📦"
RHWE9AZmSxtM,2025-09-28 11:12:58,781,DE,Munich,1216,Sport,Cyclisme,16.67,1,STUDENT,card,tablet,app,google,0,,paid,
sRhcds6NUgar,2025-08-31 08:46:37,1557,DE,Hamburg,1250,Beauté,Soins,13.06,1,,card,desktop,boutique,google,0,,paid,
dZEHNJSsavJl,2025-10-02 19:33:27,228,FR,Lyon,1166,Mode,Accessoires,37.0,1,,card,desktop,web,tiktok,0,,paid,
WwYBAWLvYpUk,2025-07-02 07:01:14,405,FR,Toulouse,1272,Beauté,Maquillage,43.89,1,WELCOME10,card,desktop,boutique,newsletter,0,,paid,
DLDQSxkZWw6p,2025-07-06 02:37:13,1613,MA,Rabat,1021,Électronique,Écouteurs,21.91,1,STUDENT,paypal,desktop,marketplace,tiktok,0,,paid,
8Y1QoXROTgLr,2025-10-03 15:57:16,1133,FR,Marseille,1197,Sport,Fitness,26.49,3,,interac,desktop,web,instagram,0,,paid,
zLI9ERbFYxlA,2025-08-31 04:46:33,1246,US,San Francisco,1243,Beauté,Soins,37.82,1,BLACKFRIDAY,crypto,mobile,web,instagram,0,,paid,
WNmQWa8z8ZQH,2025-07-28 00:11:10,1772,CA,Montréal,1047,Électronique,Tablettes,41.62,1,,interac,desktop,web,instagram,0,,paid,
ptnE8SaYuo6G,2025-08-16 09:12:38,472,FR,Toulouse,1203,Sport,Cyclisme,41.55,5,STUDENT,paypal,tablet,web,newsletter,0,,paid,
Fgg7rUQtu2w2,2025-07-04 00:29:08,975,FR,Marseille,1088,Maison,Décoration,18.82,1,,card,desktop,web,newsletter,0,,pending,
JhcuJpZDXRgk,2025-09-06 05:20:36,1844,FR,Paris,1132,Mode,Chaussures,14.42,5,ÉTÉ2025,card,mobile,web,tiktok,0,,paid,⚠️ Douanes: formulaire requis
hHXhttQ9mMd0,2025-07-03 05:18:48,1179,US,Seattle,1044,Électronique,Tablettes,11.71,1,,card,desktop,web,newsletter,0,,paid,"Adresse incomplète, revoir 📦"
tbXMfRZ02bRg,2025-07-07 23:22:45,105,CA,Vancouver,1206,Sport,Cyclisme,31.74,1,,card,desktop,marketplace,friend,0,,pending,
zFem7D5CDiDo,2025-10-04 19:38:55,361,CA,Gatineau,1021,Électronique,Écouteurs,21.91,3,WELCOME10,interac,mobile,web,direct,0,,refunded,
WmHFgKxBvIWP,2025-09-18 03:48:14,423,MA,Casablanca,1205,Sport,Cyclisme,15.35,1,WELCOME10,interac,mobile,web,newsletter,0,,paid,
4n91f8Q6PTaL,2025-09-20 13:33:04,715,DE,Munich,1076,Maison,Cuisine,25.62,3,,paypal,desktop,app,friend,0,,paid,
CMPInOyFXRQc,2025-10-09 05:18:43,514,US,New York,1241,Beauté,Soins,23.16,1,,paypal,mobile,app,tiktok,0,,paid,
eF9qDudrY9F8,2025-07-22 14:02:09,1512,FR,Marseille,1057,Électronique,Tablettes,21.02,1,,card,mobile,app,direct,0,,paid,
w9ObpelWuvut,2025-08-09 03:10:16,1991,FR,Toulouse,1222,Sport,Randonnée,34.57,1,,card,mobile,web,newsletter,0,,paid,
jbdL91oP6OYX,2025-10-08 08:48:15,1979,DE,Munich,1013,Électronique,Téléphones,9.42,3,,card,mobile,web,google,0,,paid,
CjRct9AhaWzY,2025-08-21 23:01:06,420,DE,Hamburg,1028,Électronique,Écouteurs,18.17,1,STUDENT,crypto,mobile,web,friend,0,,paid,
HtvhVt1lBgeo,2025-09-28 22:27:10,409,FR,Paris,1233,Sport,Randonnée,17.71,1,,interac,tablet,web,friend,0,,paid,
QA6rNHRJ7tsU,2025-08-11 10:03:42,778,FR,Paris,1272,Beauté,Maquillage,43.89,1,,interac,mobile,boutique,google,0,,paid,
lquCu2r6AZDU,2025-08-29 04:39:34,56,MA,Marrakech,1181,Sport,Fitness,15.98,5,ÉTÉ2025,card,mobile,app,friend,0,,paid,
vPyMSbcqrhQr,2025-08-02 09:26:37,1574,US,New York,1013,Électronique,Téléphones,9.42,2,ÉTÉ2025,card,mobile,boutique,direct,0,,paid,
wtfIzJQ0GOHt,2025-07-27 13:37:04,1201,FR,Toulouse,1017,Électronique,Téléphones,28.71,1,WELCOME10,interac,tablet,boutique,newsletter,0,,paid,
cAEdoLnx1Ep0,2025-09-17 23:46:39,1934,MA,Casablanca,1194,Sport,Fitness,26.75,1,,paypal,tablet,web,tiktok,0,,pending,
0bhXUW7tW2OA,2025-07-20 18:30:50,1937,US,New York,1046,Électronique,Tablettes,19.49,1,STUDENT,paypal,mobile,app,newsletter,0,,refunded,
WWaYhed6PItH,2025-10-02 13:40:24,1351,CA,Ottawa,1234,Sport,Randonnée,71.66,1,STUDENT,paypal,mobile,app,instagram,0,,paid,
Oo6WBYHNUcvS,2025-08-11 21:51:06,1893,FR,Paris,1055,Électronique,Tablettes,39.08,1,,paypal,mobile,marketplace,tiktok,0,,pending,
fJHS64k2k59y,2025-09-09 05:26:41,1915,MA,Casablanca,1224,Sport,Randonnée,19.38,3,,paypal,tablet,app,newsletter,0,,paid,
XF6xxV4JOj1l,2025-07-12 08:20:44,1329,US,New York,1258,Beauté,Soins,30.63,5,ÉTÉ2025,crypto,mobile,web,tiktok,0,,refunded,"Livraison express, signature exigée"
BpKEx6tAQ726,2025-08-10 10:53:37,1510,MA,Marrakech,1273,Beauté,Maquillage,24.66,5,STUDENT,crypto,mobile,web,newsletter,0,,pending,"Adresse incomplète, revoir 📦"
F8NX62X6TrBt,2025-07-18 11:36:59,5,MA,Rabat,1186,Sport,Fitness,31.08,-3,,card,mobile,web,direct,1,2025-07-26,paid,
0HWsy0QMnRYl,2025-08-12 13:32:29,6,FR,Lyon,1134,Mode,Chaussures,15.49,3,,crypto,mobile,web,tiktok,0,,paid,
HCY4RBwl3yym,2025-08-07 20:08:19,1808,DE,Munich,1192,Sport,Fitness,27.3,1,,card,desktop,web,newsletter,0,,paid,
ZwNAAcgGfmBK,2025-09-14 23:38:20,271,MA,Rabat,1115,Maison,Literie,28.52,2,,paypal,mobile,app,google,0,,paid,
88LHm8JUMHjA,2025-08-30 08:45:00,1356,DE,Munich,1248,Beauté,Soins,59.31,1,,crypto,desktop,web,instagram,0,,pending,
mdLz6eM9eIw3,2025-09-16 01:16:06,28,FR,Paris,1126,Mode,Chaussures,14.95,1,,interac,mobile,web,google,0,,refunded,
FBS8Qrf1jCOO,2025-07-08 04:04:55,446,MA,Marrakech,1273,Beauté,Maquillage,24.66,1,ÉTÉ2025,interac,mobile,web,friend,0,,paid,
gq5xEdTwprnN,2025-08-11 05:24:16,72,MA,Rabat,1093,Maison,Décoration,20.83,5,WELCOME10,paypal,mobile,marketplace,friend,0,,paid,
PubNlllp8LKT,2025-07-10 21:08:18,1463,FR,Toulouse,1094,Maison,Décoration,20.16,5,,paypal,desktop,app,newsletter,0,,paid,"Livraison express, signature exigée"
rVGXasa8c1jm,2025-07-02 13:12:22,855,MA,Rabat,1242,Beauté,Soins,31.58,5,,paypal,mobile,web,tiktok,0,,pending,
S0G3QQ3ueJjL,2025-08-07 16:20:03,155,US,Boston,1234,Sport,Randonnée,71.66,1,WELCOME10,paypal,mobile,web,friend,0,,failed,
KnYI7OXlW1lL,2025-08-16 18:13:23,1615,DE,Munich,1240,Beauté,Soins,16.51,1,,paypal,desktop,web,instagram,0,,pending,
dGoVDovKxUcI,2025-07-02 08:28:08,1472,MA,Casablanca,1050,Électronique,Tablettes,28.85,1,,crypto,mobile,boutique,direct,0,,paid,
mQeO6biUqOPz,2025-07-28 17:42:35,589,CA,Montréal,1225,Sport,Randonnée,42.29,2,WELCOME10,crypto,mobile,app,direct,0,,paid,
DcoEpCGrOUUW,2025-09-28 03:13:09,553,US,Seattle,1076,Maison,Cuisine,25.62,1,WELCOME10,crypto,mobile,marketplace,instagram,0,,paid,
xUOMOcxRcLmV,2025-07-29 18:54:28,1095,FR,Paris,1235,Sport,Randonnée,33.68,3,,crypto,tablet,app,instagram,0,,paid,
O7sReRXXibgl,2025-07-01 06:39:54,947,FR,Toulouse,1048,Électronique,Tablettes,29.13,2,,paypal,mobile,web,newsletter,0,,paid,
OGqRFd3RMrmi,2025-09-08 06:31:45,1506,FR,Lyon,1232,Sport,Randonnée,25.1,1,,paypal,mobile,app,instagram,0,,refunded,
LWZ8wzjH4QDo,2025-09-16 22:08:26,1702,CA,Vancouver,1092,Maison,Décoration,17.27,5,,card,mobile,web,direct,0,,paid,
U5Ez9IxG9ntc,2025-09-04 06:58:39,1057,FR,Paris,1156,Mode,Vêtements,62.36,1,,crypto,desktop,marketplace,google,0,,paid,
KsMzpHOejTrq,2025-07-09 11:40:35,1810,US,San Francisco,1118,Maison,Literie,43.44,1,,interac,desktop,web,google,0,,paid,
WOKepEDiSuWT,2025-07-19 02:13:00,536,FR,Paris,1227,Sport,Randonnée,14.31,5,,crypto,mobile,web,direct,0,,pending,
Y2DgqP8FE4QG,2025-07-02 10:19:34,714,CA,Montréal,1202,Sport,Cyclisme,42.16,-2,WELCOME10,card,mobile,boutique,instagram,1,,pending,
mCkb1HRr7ExX,2025-10-13 05:52:10,1024,DE,Berlin,1107,Maison,Literie,26.77,1,,crypto,desktop,boutique,friend,0,,pending,
3iL1rRYwMODz,2025-09-24 12:24:39,118,FR,Marseille,1051,Électronique,Tablettes,20.24,5,,card,mobile,web,instagram,0,,refunded,
Mk9TsuZHRsYw,2025-09-03 01:02:02,281,FR,Toulouse,1013,Électronique,Téléphones,9.42,5,WELCOME10,interac,mobile,web,direct,0,,paid,
OPLcSZlpnqpZ,2025-08-06 05:05:50,1515,CA,Gatineau,1129,Mode,Chaussures,19.07,2,WELCOME10,interac,tablet,web,newsletter,0,,paid,"Livraison express, signature exigée"
lRjS4QnHg4zy,2025-09-29 23:44:29,211,MA,Casablanca,1226,Sport,Randonnée,25.33,1,,paypal,mobile,app,direct,1,,paid,
#,commentaire isolé,à ignorer,,,,,,,,,,,,,,,,
STba58R45QQs,2025-09-08 21:03:54,365,FR,Toulouse,1020,Électronique,Écouteurs,51.05,5,,interac,mobile,web,instagram,0,,paid,
QWEBox9rM2VH,2025-10-04 18:25:11,1626,MA,Marrakech,1012,Électronique,Téléphones,27.69,3,,interac,mobile,web,google,0,,paid,
LeI6qccFOAs0,2025-07-08 07:31:04,1650,DE,Hamburg,1060,Maison,Cuisine,19.31,1,,card,mobile,web,google,0,,paid,"Paiement réessayé, ok"
olGc97KYZUzx,2025-07-02 23:07:38,358,DE,Hamburg,1043,Électronique,Tablettes,21.1,5,,crypto,mobile,web,tiktok,0,,paid,
Xa93lyEeAbeC,2025-10-15 13:37:00,425,DE,Berlin,1260,Beauté,Maquillage,15.43,1,,interac,mobile,boutique,newsletter,0,,failed,
iSfhF27renvj,2025-09-11 10:39:36,760,FR,Paris,1154,Mode,Vêtements,28.4,1,ÉTÉ2025,paypal,mobile,web,tiktok,0,,paid,
MNCo0vIMyQkV,2025-07-01 08:44:38,231,MA,Marrakech,1143,Mode,Vêtements,26.91,5,STUDENT,crypto,desktop,app,tiktok,0,,pending,"Livraison express, signature exigée"
ZWJfXfIcSOvJ,2025-07-22 23:18:56,586,CA,Québec,1179,Mode,Accessoires,95.59,3,,interac,mobile,web,newsletter,0,,paid,
TGf5FdS52hJj,2025-09-20 09:14:18,618,DE,Hamburg,1256,Beauté,Soins,46.22,2,BLACKFRIDAY,paypal,mobile,app,friend,0,,paid,
JKVkjyiDWDIe,2025-07-09 18:22:27,671,MA,Marrakech,1130,Mode,Chaussures,11.3,1,,paypal,mobile,web,newsletter,0,,paid,
OLUk5vq6pgXH,2025-07-30 13:08:09,1274,MA,Casablanca,1137,Mode,Chaussures,20.88,3,WELCOME10,card,mobile,web,direct,0,,paid,
Bjvdoi0bdqzg,2025-07-26 21:51:55,1592,US,Boston,1110,Maison,Literie,9.4,1,BLACKFRIDAY,crypto,mobile,app,newsletter,0,,paid,
KxfcSvTkDye8,2025-07-01 18:39:04,1424,DE,Hamburg,1035,Électronique,Écouteurs,13.32,1,STUDENT,paypal,mobile,boutique,instagram,0,,paid,
2sxsytAgLCg5,2025-10-10 03:08:15,128,MA,Marrakech,1035,Électronique,Écouteurs,13.32,1,ÉTÉ2025,paypal,mobile,app,tiktok,0,,paid,
blQcWfB3ZBMd,2025-09-02 01:32:09,1155,US,Seattle,1098,Maison,Décoration,24.6,5,ÉTÉ2025,interac,tablet,web,google,0,,pending,"Livraison express, signature exigée"
g5kgSwNiKmKD,2025-10-11 00:25:41,496,US,San Francisco,1161,Mode,Accessoires,36.36,3,,crypto,mobile,web,newsletter,0,,paid,
HyzMH8xvYKWA,2025-08-14 19:36:08,1041,CA,Gatineau,1121,Mode,Chaussures,15.57,2,,card,mobile,app,instagram,0,,paid,
SqcvhEwHAYeR,2025-09-23 21:34:44,457,US,Boston,1025,Électronique,Écouteurs,25.93,1,,interac,tablet,web,google,0,,pending,
hO3MaCBKXNx5,2025-10-06 06:43:07,1295,DE,Hamburg,1277,Beauté,Maquillage,18.17,1,,paypal,mobile,app,friend,0,,paid,
8bg9RvB64mwF,2025-09-17 08:33:33,1874,FR,Toulouse,1277,Beauté,Maquillage,18.17,1,STUDENT,paypal,desktop,app,friend,0,,paid,
oenfYnO8OKa4,2025-09-15 05:05:08,1464,DE,Berlin,1058,Électronique,Tablettes,28.95,2,WELCOME10,paypal,mobile,app,instagram,0,,paid,
pUUnyf6DdVG9,2025-08-20 08:56:28,1600,FR,Toulouse,1093,Maison,Décoration,20.83,5,,interac,desktop,web,instagram,0,,paid,
91spjgJVkgv1,2025-07-08 21:49:09,945,FR,Toulouse,1006,Électronique,Téléphones,54.03,1,WELCOME10,paypal,mobile,web,newsletter,0,,paid,
PvbDwV3tJdvJ,2025-07-24 12:37:30,91,US,Boston,1069,Maison,Cuisine,17.77,3,STUDENT,card,tablet,app,friend,0,,paid,
9xfYnlILDdSN,2025-07-08 20:14:03,1799,FR,Lyon,1080,Maison,Décoration,21.98,1,,card,desktop,web,direct,0,,paid,
nMWTyuZjfk9r,2025-07-18 03:19:06,22,MA,Casablanca,1014,Électronique,Téléphones,10.36,3,,paypal,mobile,app,instagram,0,,paid,
fUekoSV6QciN,2025-08-10 19:12:33,104,DE,Munich,1080,Maison,Décoration,21.98,1,,crypto,desktop,web,friend,0,,paid,
1ZBz6VC4Fh0F,2025-07-05 10:39:08,1546,FR,Paris,1176,Mode,Accessoires,24.69,1,BLACKFRIDAY,crypto,desktop,marketplace,google,0,,paid,
RixrDIahaYDR,2025-08-20 10:00:16,1362,MA,Casablanca,1058,Électronique,Tablettes,28.95,3,WELCOME10,paypal,mobile,web,direct,0,,paid,
qGjBK4ClkPXf,2025-08-01 18:55:19,37,DE,Berlin,1130,Mode,Chaussures,11.3,1,WELCOME10,interac,tablet,web,google,0,,pending,
xFuZLZfBqJ6a,2025-07-02 21:06:08,940,MA,Rabat,1289,Beauté,Cheveux,17.97,1,,crypto,desktop,app,friend,0,,pending,
oLM4rmItUzAP,2025-07-14 10:22:36,1556,MA,Rabat,1125,Mode,Chaussures,73.35,5,,crypto,tablet,web,direct,0,,paid,
RgIJBu6wzqhI,2025-07-20 23:52:11,1202,DE,Munich,1259,Beauté,Soins,36.14,1,WELCOME10,interac,desktop,web,instagram,0,,paid,
bKBvW5eU78LI,2025-09-15 09:22:31,1926,US,Boston,1188,Sport,Fitness,16.06,1,,crypto,mobile,boutique,direct,0,,paid,"Paiement réessayé, ok"
HJyjYycfIBXY,2025-10-13 14:49:55,302,MA,Marrakech,1019,Électronique,Téléphones,12.11,2,,paypal,mobile,web,tiktok,0,,pending,
HBh8amlxWAvI,2025-09-22 07:05:22,1952,MA,Marrakech,1178,Mode,Accessoires,21.49,1,,crypto,mobile,web,tiktok,0,,paid,
dLjNc2mFHG37,2025-08-02 18:58:46,1348,US,New York,1008,Électronique,Téléphones,19.4,1,,interac,desktop,marketplace,instagram,0,,paid,
JVncq3HOjy3K,2025-10-14 04:57:34,403,FR,Paris,1227,Sport,Randonnée,14.31,3,STUDENT,card,desktop,web,direct,0,,paid,
xke3g4eppUII,2025-09-27 15:29:29,1056,FR,Lyon,1182,Sport,Fitness,14.36,2,STUDENT,crypto,desktop,web,google,0,,paid,
F9wXVOz066uZ,2025-09-17 03:28:24,437,DE,Berlin,1222,Sport,Randonnée,34.57,1,WELCOME10,crypto,tablet,app,google,0,,paid,
2a3UrL5iH8iq,2025-08-27 21:41:05,798,CA,Ottawa,1047,Électronique,Tablettes,41.62,5,,card,mobile,boutique,tiktok,0,,paid,
7Lq6FicWoaa2,2025-10-07 00:39:26,1889,US,Boston,1239,Sport,Randonnée,37.57,2,,card,mobile,marketplace,newsletter,0,,paid,
UYx44jDxrlrg,2025-10-14 03:18:42,1743,FR,Lyon,1099,Maison,Décoration,21.82,1,BLACKFRIDAY,card,mobile,app,newsletter,0,,paid,
8XTMtUlH33jw,2025-07-14 05:45:26,773,DE,Hamburg,1155,Mode,Vêtements,17.16,1,STUDENT,card,desktop,web,direct,0,,paid,
0GVd5DQpUJW8,2025-07-06 10:21:14,1031,FR,Marseille,1260,Beauté,Maquillage,15.43,5,,paypal,mobile,app,newsletter,0,,pending,
ky6Ph2Y8CahO,2025-08-21 14:36:38,354,DE,Munich,1003,Électronique,Téléphones,52.54,1,ÉTÉ2025,paypal,mobile,web,instagram,0,,paid,
8v9xZWY5XLjM,2025-09-15 22:25:58,1716,DE,Berlin,1138,Mode,Chaussures,36.85,3,WELCOME10,crypto,mobile,boutique,friend,0,,paid,
qimia3RQ8wxR,2025-07-12 08:42:52,397,US,Boston,1201,Sport,Cyclisme,32.47,1,,paypal,mobile,web,direct,0,,paid,
2Vvy2quBTxqK,2025-08-22 08:17:56,1017,CA,Montréal,1205,Sport,Cyclisme,15.35,1,WELCOME10,interac,mobile,app,direct,0,,paid,
8XozizZf0UfR,2025-09-15 05:19:46,1665,CA,Ottawa,1236,Sport,Randonnée,8.91,1,ÉTÉ2025,crypto,desktop,web,google,0,,paid,"Promo appliquée, vérifier le cumul"
fHb7S2xoeuuh,2025-09-15 21:24:38,408,FR,Marseille,1057,Électronique,Tablettes,21.02,5,,interac,mobile,app,tiktok,0,,paid,"Nom cont… ""Dupont, Jean"""
IbexorainuP9,2025-08-23 03:42:45,1456,FR,Toulouse,1222,Sport,Randonnée,34.57,1,,paypal,desktop,web,friend,0,,paid,
ZxA4MXTQX8Sd,2025-10-10 00:12:05,1338,DE,Munich,1221,Sport,Randonnée,9.64,3,,card,mobile,app,direct,0,,paid,
1dOOdTXglHil,2025-09-12 18:30:15,1607,MA,Casablanca,1057,Électronique,Tablettes,21.02,3,,card,tablet,web,friend,0,,paid,
MHaJZIh9m8Q0,2025-08-17 17:16:33,494,MA,Rabat,1272,Beauté,Maquillage,43.89,1,,crypto,mobile,web,direct,0,,failed,"Adresse incomplète, revoir 📦"
u9lCcJKpaMfL,2025-10-14 05:46:54,704,CA,Ottawa,1161,Mode,Accessoires,36.36,1,,interac,mobile,web,direct,0,,paid,
UDpioFmLuvpx,2025-09-17 12:04:43,286,MA,Marrakech,1193,Sport,Fitness,13.16,1,,crypto,mobile,web,instagram,0,,refunded,
K7ggWW122qOJ,2025-08-11 08:33:29,1879,CA,Québec,1022,Électronique,Écouteurs,25.37,1,,crypto,mobile,app,friend,0,,paid,
l2J4pfRyY9WA,2025-07-23 05:57:09,209,FR,Marseille,1006,Électronique,Téléphones,54.03,2,BLACKFRIDAY,paypal,desktop,web,google,0,,paid,⚠️ Douanes: formulaire requis
2G53JOZrJLfo,2025-07-16 07:15:07,189,US,Boston,1286,Beauté,Cheveux,22.74,1,BLACKFRIDAY,crypto,mobile,web,newsletter,0,,failed,
QMv2djLXKQxV,2025-10-09 19:59:55,375,FR,Paris,1258,Beauté,Soins,30.63,3,,interac,desktop,web,direct,0,,pending,
prdHjaoOkXkV,2025-07-13 01:04:56,499,DE,Hamburg,1031,Électronique,Écouteurs,61.94,1,,interac,mobile,web,friend,0,,paid,
2lghqYVlQufw,2025-07-25 10:46:45,456,DE,Hamburg,1009,Électronique,Téléphones,32.18,1,,paypal,mobile,web,friend,0,,paid,
UjG1cvTr2ROO,2025-10-15 03:36:39,145,US,New York,1185,Sport,Fitness,35.06,1,,card,mobile,web,tiktok,0,,paid,"Paiement réessayé, ok"
Vp35sqjdtedD,2025-08-23 03:25:58,1115,CA,Québec,1249,Beauté,Soins,30.04,3,ÉTÉ2025,card,mobile,web,tiktok,0,,paid,
